"#""+ BPC Scan stir_75um_sp-r002.d """,,
#Point,X(Minutes),Y(Counts)
1113,18.566,3033
1114,18.582,2590
1115,18.599,3214
1116,18.615,3317
1117,18.632,2719
1118,18.649,2947
1119,18.665,2896
1120,18.682,2470
1121,18.699,3170
1122,18.715,2696
1123,18.732,3293
1124,18.748,2625
1125,18.765,2598
1126,18.782,1878
1127,18.798,2121
1128,18.815,2597
1129,18.832,2453
1130,18.848,3043
1131,18.865,2258
1132,18.882,2176
1133,18.898,2268
1134,18.915,2691
1135,18.931,2301
1136,18.948,2362
1137,18.965,1921
1138,18.981,1705
1139,18.998,1993
1140,19.015,1771
1141,19.031,2246
1142,19.048,1882
1143,19.065,1643
1144,19.081,1566
1145,19.098,2500
1146,19.114,1766
1147,19.131,1916
1148,19.148,2910
1149,19.164,2928
1150,19.181,3535
1151,19.198,4679
1152,19.214,5182
1153,19.231,8348
1154,19.247,11074
1155,19.264,14294
1156,19.281,20266
1157,19.297,23237
1158,19.314,29908
1159,19.331,33666
1160,19.347,38164
1161,19.364,40118
1162,19.381,42695
1163,19.397,42633
1164,19.414,47131
1165,19.43,45613
1166,19.447,45466
1167,19.464,53186
1168,19.48,50493
1169,19.497,46317
1170,19.514,48744
1171,19.53,50324
1172,19.547,51944
1173,19.564,44942
1174,19.58,42953
1175,19.597,49233
1176,19.613,44648
1177,19.63,42594
1178,19.647,44273
1179,19.663,40051
1180,19.68,41293
1181,19.697,40492
1182,19.713,39193
1183,19.73,37919
1184,19.746,36179
1185,19.763,35388
1186,19.78,33300
1187,19.796,32285
1188,19.813,30330
1189,19.83,27515
1190,19.846,25205
1191,19.863,25209
1192,19.88,22599
1193,19.896,21992
1194,19.913,21456
1195,19.929,15758
1196,19.946,17622
1197,19.963,15787
1198,19.979,16263
1199,19.996,13538
1200,20.013,13396
1201,20.029,11207
1202,20.046,10035
1203,20.063,10727
1204,20.079,9607
1205,20.096,8468
1206,20.112,9225
1207,20.129,7637
1208,20.146,7220
1209,20.162,8248
1210,20.179,7825
1211,20.196,5746
1212,20.212,5687
1213,20.229,5944
1214,20.245,5484
1215,20.262,5156
1216,20.279,5887
1217,20.295,5739
1218,20.312,5023
1219,20.329,5037
1220,20.345,3891
1221,20.362,3769
1222,20.379,3754
1223,20.395,4100
1224,20.412,3961
1225,20.428,4223
1226,20.445,4408
1227,20.462,3230
1228,20.478,3804
1229,20.495,3592
1230,20.512,4196
1231,20.528,3676
1232,20.545,3231
1233,20.562,3288
1234,20.578,4012
1235,20.595,3465
1236,20.611,3991
1237,20.628,3255
1238,20.645,2984
1239,20.661,3207
1240,20.678,2876
1241,20.695,2842
1242,20.711,2143
1243,20.728,3869
1244,20.744,2350
1245,20.761,2281
1246,20.778,2301
1247,20.794,2467
1248,20.811,2407
1249,20.828,1912
1250,20.844,2242
1251,20.861,2335
1252,20.878,1831
1253,20.894,1892
1254,20.911,2827
1255,20.927,2582
1256,20.944,2705
1257,20.961,2511
1258,20.977,2386
1259,20.994,1955
1260,21.011,2164
1261,21.027,1723
1262,21.044,2248
1263,21.061,2006
1264,21.077,1823
1265,21.094,1870
1266,21.11,2084
1267,21.127,1918
1268,21.144,1737
1269,21.16,1613
1270,21.177,1760
1271,21.194,1869
1272,21.21,1581
1273,21.227,1916
1274,21.243,1463
1275,21.26,2052
1276,21.277,1969
1277,21.293,1788
1278,21.31,1561
1279,21.327,1879
1280,21.343,1943
1281,21.36,1699
1282,21.377,1560
1283,21.393,1711
1284,21.41,1579
1285,21.426,1788
1286,21.443,1883
1287,21.46,1501
1288,21.476,1576
1289,21.493,1732
1290,21.51,1841
1291,21.526,1428
1292,21.543,1507
1293,21.56,1462
1294,21.576,1533
1295,21.593,1466
1296,21.609,1256
1297,21.626,1454
1298,21.643,1598
1299,21.659,1482
1300,21.676,1565
1301,21.693,1475
1302,21.709,2070
1303,21.726,1146
1304,21.742,1294
1305,21.759,1977
1306,21.776,1828
1307,21.792,1388
1308,21.809,1601
1309,21.826,1750
1310,21.842,1459
1311,21.859,1216
1312,21.876,1671
1313,21.892,1026
1314,21.909,1773
1315,21.925,1677
1316,21.942,1588
1317,21.959,1679
1318,21.975,1473
1319,21.992,1161
1320,22.009,1565
1321,22.025,1563
1322,22.042,1668
1323,22.059,1522
1324,22.075,1865
1325,22.092,1229
1326,22.108,2012
1327,22.125,1582
1328,22.142,1101
1329,22.158,1386
1330,22.175,1332
1331,22.192,1296
1332,22.208,1382
1333,22.225,1413
1334,22.241,1282
1335,22.258,1044
1336,22.275,1157
1337,22.291,1621
1338,22.308,1289
1339,22.325,1161
1340,22.341,1197
1341,22.358,1474
1342,22.375,1134
1343,22.391,1371
1344,22.408,1832
1345,22.424,1093
1346,22.441,1023
1347,22.458,1087
1348,22.474,1217
1349,22.491,1201
1350,22.508,1292
1351,22.524,1335
1352,22.541,1448
1353,22.558,1563
1354,22.574,1667
1355,22.591,1093
1356,22.607,1166
1357,22.624,1104
1358,22.641,1123
1359,22.657,1193
1360,22.674,941
1361,22.691,1197
1362,22.707,873
1363,22.724,1260
1364,22.74,1163
1365,22.757,1175
1366,22.774,941
1367,22.79,1071
1368,22.807,1282
1369,22.824,1087
1370,22.84,1106
1371,22.857,1106
1372,22.874,1122
1373,22.89,1087
1374,22.907,1208
1375,22.923,1094
1376,22.94,1048
1377,22.957,1413
1378,22.973,1900
1379,22.99,1042
1380,23.007,922
1381,23.023,1256
1382,23.04,970
1383,23.057,1225
1384,23.073,1326
1385,23.09,1044
1386,23.106,1037
1387,23.123,1134
1388,23.14,1095
1389,23.156,1351
1390,23.173,1269
1391,23.19,1315
1392,23.206,1599
1393,23.223,1184
1394,23.239,1279
1395,23.256,1240
1396,23.273,1275
1397,23.289,1142
1398,23.306,1279
1399,23.323,1131
1400,23.339,1170
1401,23.356,1320
1402,23.373,1558
1403,23.389,1485
1404,23.406,1203
1405,23.422,1585
1406,23.439,1289
1407,23.456,1610
1408,23.472,1253
1409,23.489,1308
1410,23.506,1645
1411,23.522,1478
1412,23.539,1771
1413,23.556,2350
1414,23.572,1575
1415,23.589,1635
1416,23.605,1803
1417,23.622,2075
1418,23.639,1281
1419,23.655,1910
1420,23.672,1794
1421,23.689,1827
1422,23.705,1409
1423,23.722,1798
1424,23.738,1568
1425,23.755,2275
1426,23.772,1533
1427,23.788,1687
1428,23.805,1791
1429,23.822,1973
1430,23.838,1658
1431,23.855,1647
1432,23.872,1961
1433,23.888,1375
1434,23.905,1670
1435,23.921,1347
1436,23.938,1723
1437,23.955,1685
1438,23.971,1761
1439,23.988,1416
1440,24.005,1794
1441,24.021,1265
1442,24.038,972
1443,24.055,1671
1444,24.071,1290
1445,24.088,1574
1446,24.104,1040
1447,24.121,1208
1448,24.138,933
1449,24.154,1135
1450,24.171,978
1451,24.188,1256
1452,24.204,902
1453,24.221,1071
1454,24.237,1185
1455,24.254,1034
1456,24.271,965
1457,24.287,1341
1458,24.304,849
1459,24.321,1094
1460,24.337,895
1461,24.354,1261
1462,24.371,1531
1463,24.387,1160
1464,24.404,1534
1465,24.42,1302
1466,24.437,1333
1467,24.454,1128
1468,24.47,1275
1469,24.487,894
1470,24.504,1085
1471,24.52,1541
1472,24.537,877
1473,24.554,1184
1474,24.57,986
1475,24.587,1247
1476,24.603,1080
1477,24.62,1375
1478,24.637,1132
1479,24.653,1362
1480,24.67,1104
1481,24.687,1194
1482,24.703,1231
1483,24.72,1637
1484,24.736,1303
1485,24.753,1310
1486,24.77,1314
1487,24.786,1699
1488,24.803,1423
1489,24.82,1236
1490,24.836,1169
1491,24.853,1309
1492,24.87,1232
1493,24.886,1424
1494,24.903,1514
1495,24.919,1317
1496,24.936,1367
1497,24.953,1383
1498,24.969,1689
1499,24.986,1719
1500,25.003,1556
1501,25.019,1234
1502,25.036,1559
1503,25.052,1356
