CHROMATOGRAM,
Hela10k10.raw,
Data points: 3444,
Time,Intensity
25.6568358,1119935.5
25.71492965,2156609
25.77297173,1948162
25.83158285,2475137
25.88978912,2317267
25.94776425,1858346.25
26.00765272,1247973
26.06595554,2175554.25
26.12409358,2692146.25
26.1840814,2480051.5
26.24413375,1531579.25
26.30272977,759877.8125
26.36212272,865361.375
26.42217668,883935.0625
26.48098717,1007573.25
26.5400256,1600170.125
26.59946624,961371.125
26.66145927,484538.625
26.72393924,284896.5
26.78415024,494832.9063
26.8461645,568734.625
26.904479,330082.125
26.96387462,451225.125
26.98838168,685056.1875
27.04713717,1211381.375
27.10713178,2546020
27.16727397,3219239.5
27.22525222,3316431.5
27.28512207,3159721.25
27.34305139,3377564
27.4048603,3841914.5
27.46282895,8701266
27.52200545,23628842
27.58003632,79204016
27.63806045,190882576
27.69605513,206355248
27.75479033,160385952
27.81337589,312073824
27.8722126,318871072
27.9306134,232433056
27.99021022,103662144
28.05070279,36629260
28.1104946,10968979
28.17016687,2483243
28.22859042,2431391.5
28.28850092,2922879.5
28.34880645,2068397.25
28.40681599,1502625
28.46537865,1866272.5
28.52346588,1596560.875
28.5841422,1714294.625
28.64403939,2378734.5
28.70205398,1434444.5
28.76090179,1413136.125
28.81897937,1330912.5
28.87724557,1081711.25
28.93537082,1711786.125
28.9962688,2697091.25
29.05430135,5160151.5
29.11224752,8715464
29.17148762,9815869
29.22968827,18481826
29.28770674,24795186
29.3456917,42431672
29.40443564,75146728
29.46298157,73726200
29.52083705,76933288
29.5788301,54412148
29.63840515,32623490
29.69643459,16065187
29.75667834,7138915
29.8149766,3756199.25
29.87321849,2087280.5
29.9314143,1136274.25
29.99088277,871559.0625
30.0525342,612717.3125
30.1107023,560918.9375
30.17131567,448295.5313
30.23224197,509514.5
30.29403662,309035.4063
30.3542367,700491.0625
30.39340243,957522.4375
30.45356707,1956302.125
30.51410937,2844889
30.57613378,4647657.5
30.63802439,4786482
30.69710509,3595772.25
30.75704245,6345743.5
30.8169504,8788034
30.8764603,10221145
30.93568325,11048362
30.99481268,12181619
31.05416845,8576855
31.11569892,10606784
31.17674679,7910441.5
31.23715773,5499969
31.29705039,5329712.5
31.35696304,4512298.5
31.4149296,3589880.5
31.47373495,2683007.75
31.53374339,1937013.75
31.5937426,1309016.125
31.6559215,1257037.625
31.7159475,593757
31.77823675,467251.8438
31.83835228,392205.0625
31.89717159,273268.25
31.95928542,162872
32.02168685,115532.25
32.08198945,104776.0391
32.10668339,111226.7422
32.1312623,111603.9688
32.1849391,139888.1094
32.2161964,165124.6875
32.27860792,523658.7188
32.29655213,742152.5625
32.31444,751801.625
32.33231858,998579
32.37906362,1160783.625
32.43916695,1376078.875
32.5014801,1459447.25
32.5637049,1257774.5
32.62381729,1102635
32.68617182,553132.4375
32.74875888,237214.5938
32.7885163,148125.9219
32.80689524,134634.875
32.82498447,124563.8203
32.84313275,91671.46094
32.86979663,141100.875
32.90120365,118178.9531
32.94836038,134633.2813
32.97319597,189829.9844
32.99779855,160280.2969
33.05823117,242753.4531
33.08306599,417323.9063
33.10761025,310193.1563
33.17019642,362676.8438
33.20156734,253292.2656
33.23291779,227953.625
33.25099342,155202.375
33.27601359,180608.1719
33.29411422,121805.1875
33.31234505,84845.88281
33.33080074,115691.6094
33.35790349,68308.39844
33.37633319,113951.8047
33.39452207,106358.8359
33.41304075,121795.2266
33.43135868,138453.5625
33.46535517,140665.2969
33.49054424,158958.2813
33.51572568,217938.4688
33.5340164,169205.4844
33.5523948,148198.2188
33.57084893,165299.9531
33.59801008,98705.1875
33.61664337,132151.8125
33.63496445,112649.7188
33.65353405,145390.3281
33.67186974,111719.8047
33.690412,176416.1875
33.70884001,86664.82031
33.72749095,122626.5703
33.74601107,127607.7109
33.76449649,118868.5547
33.79214627,144118.3438
33.81069087,178401.7813
33.82903337,144981.25
33.84756322,166395.5156
33.87711974,116810.7188
33.90260009,167654.0625
