CHROMATOGRAM,
hela10k06.raw,
Data points: 3302,
Time,Intensity
19.64633984,266130.6563
19.66709709,192728.7344
19.68790271,156869.7188
19.70918301,95737.98438
19.74144978,58620.60547
19.76217546,51453.96484
19.78320391,82761.55469
19.80440114,106031.0234
19.82512056,144965.3281
19.85739871,188694.625
19.88426007,179688.1406
19.91125588,126284.7578
19.94468949,89495.33594
19.97146351,123034.3125
19.99820538,143711.3906
20.01833891,155432.25
20.03835739,127366.2422
20.05833961,163791.8906
20.07820536,153271.4063
20.09793961,149646.4844
20.11766099,159990.8906
20.14850656,149923.9688
20.18861858,118952.7031
20.20851804,104726.5391
20.22837748,70761.25781
20.24789538,89195.46094
20.26722941,121929.5938
20.30370836,469315.9375
20.34236937,1972343.75
20.36053563,2793419
20.37859769,3688758.25
20.3965369,3951728.75
20.45768299,7113280.5
20.5176668,5307621
20.57762467,61576652
20.63974985,257594016
20.69771399,254471808
20.75565345,116449152
20.8155373,43117800
20.87614694,12781017
20.93489377,6722686.5
20.99661915,15709908
21.05667709,6284957.5
21.11674813,1705531.5
21.1792135,2044916.25
21.23934192,2336324
21.29946022,1609658.125
21.35949617,1008921.875
21.4183095,9614514
21.47830427,14825825
21.53825148,8824311
21.60045567,3147006.75
21.66013762,2510193.25
21.72066348,1368890.125
21.78084569,4551442
21.84080662,7164895
21.90105805,6296127
21.9633103,4542537.5
22.02331125,2774631.25
22.08555127,1924361
22.14536258,1838701.25
22.20459779,1372093
22.26699287,987901.4375
22.32723474,1087101.25
22.38753097,1516684.375
22.4478191,653160.375
22.50664409,488865.1563
22.5681448,472564.5938
22.61469123,469429.4063
22.67497405,1924597.25
22.73670825,2155652.25
22.7982737,932471.375
22.85862759,361219.8438
22.90573508,238998.3594
22.95959007,215392.8594
22.97782485,291032.1875
22.99591223,267877.8438
23.01406529,247850.7813
23.07544279,378698.5
23.10696489,617326.75
23.16738925,1196968.25
23.22015827,1275715.625
23.2736692,868840.4375
23.33516145,655578.25
23.3946157,3007422
23.455029,9051225
23.51332987,9111837
23.57128975,7482052.5
23.6299843,3865949.5
23.69215519,6909411.5
23.7502002,19517822
23.81231897,19914764
23.87253815,11364830
23.93354092,3501971
23.9935222,869330.75
24.0537144,590065.5625
24.07824295,880748.0625
24.13120045,1527356.875
24.19082964,2034681.375
24.2501581,1340691
24.31024899,507905.1563
24.3694133,79783.02344
24.40104277,190480.375
24.41895905,114368.9453
24.43699562,124659.9844
24.4549653,50747.81641
24.50234656,19984.92578
24.52765335,52161.48828
24.54593395,40582.16016
24.56434892,25211.93945
24.5828336,54755.99219
24.60134371,18932.66602
24.61999424,49097.69531
24.63825244,36833.98438
24.66571412,109638.8438
24.6839352,154390.0625
24.70206887,169019.2813
24.72014358,431896.5625
24.74692589,742451.875
24.8056408,2408743.25
24.86572189,4010696
24.9279152,2610730.75
24.98899378,1298583.25
25.05094434,365921.375
25.11141732,645843.0625
25.1644199,1369949.875
25.20972822,1372830.375
25.26988085,747609.9375
25.33018757,370118.8438
25.39145139,554991.0625
25.45318822,1240207.75
25.51128487,1338258
25.56931567,1702136.25
25.62735687,1500962.875
25.68550019,821218
25.74396799,908848.125
25.80194084,2128508.75
25.8618637,2591008.25
25.92181887,1877257.875
25.98393919,1007862.5
26.043873,1124423.5
26.10228684,879217.75
26.16190004,824930.6875
26.22039374,1202039.5
26.27936039,1075509.625
26.33989844,680268.875
26.40163482,416990.4688
26.46021447,855681.375
26.5196572,943890.3125
26.57817732,755068.625
26.63824725,827937.75
26.69936147,607762.1875
26.75797845,397518.5625
26.8170631,384192.375
26.87857372,770709.375
26.93773662,1552736.875
26.99607157,2812860.25
27.05824419,4453929.5
27.11644687,7254847.5
27.17476117,22833664
27.2346769,86857800
27.29283849,200006400
27.35298482,205085200
27.41175458,236596896
27.47199272,317667968
27.5300246,326110688
27.58974549,182097408
27.64861407,64728048
27.70656217,18007986
27.76643297,4547143.5
27.82524817,2704068.25
27.88330694,2952251
27.94322735,2130843.25
28.00377785,1811797.25
28.06489137,922648.875
28.12382152,1336622.5
28.18347129,1095015.25
28.24174135,1052997.25
28.30170842,894175.375
28.36165779,1030097.313
28.42031984,1148375.625
28.47848304,837714.8125
28.53657465,1045135.75
28.59654979,2355231.5
28.65647987,2866174.75
28.71731715,6118437.5
28.77523962,7600069
28.83331442,11345550
28.8912831,19400876
28.95046327,36159832
29.00846885,51583584
29.06759807,67934576
29.1267998,65993412
29.18483867,45904248
29.24293288,35179836
29.30274512,15829966
29.36074827,7293486.5
29.4187233,2781504
29.47923075,2072653.125
29.53915152,1246541.875
29.59755062,1433584.75
29.65566349,1142292.5
29.71516128,1032170.75
29.77559638,639663.5625
29.83389438,834882.4375
29.89284199,594723.25
29.9522517,696106.75
30.01229763,1731159.625
30.07451332,2189577.25
30.13605303,3311989
30.19602993,5053711
30.2559805,4354706
30.31594445,4601225.5
30.37399207,4135381.75
30.43195157,5490978
30.49409435,9408438
30.55390002,8246827.5
30.61573317,8459660
30.67402339,7961868.5
30.73389444,6141003
30.79179355,6059245.5
30.85388379,5635847
30.91598892,4999323
30.9771069,4124746.5
31.03702977,3976426.75
31.0956171,3809769
31.15362337,2526820
31.21239017,2847930.75
31.27235067,2354772.5
31.33228629,1904220.5
31.39444877,2188972.25
